t_s,hhmmss,type,detail,raw,t_rel_s,t_bin_s,scenario,run_id,role
12116.0,03:21:56,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,0.0,0,high,run06,client
12131.0,03:22:11,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,15.0,15,high,run06,client
12146.0,03:22:26,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,30.0,30,high,run06,client
12161.0,03:22:41,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,45.0,45,high,run06,client
12176.0,03:22:56,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,60.0,60,high,run06,client
12191.0,03:23:11,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,75.0,75,high,run06,client
12206.0,03:23:26,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,90.0,90,high,run06,client
12221.0,03:23:41,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,105.0,105,high,run06,client
12236.0,03:23:56,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,120.0,120,high,run06,client
12251.0,03:24:11,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,135.0,135,high,run06,client
12266.0,03:24:26,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,150.0,150,high,run06,client
12281.0,03:24:41,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,165.0,165,high,run06,client
12297.0,03:24:57,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,181.0,181,high,run06,client
12312.0,03:25:12,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,196.0,196,high,run06,client
12327.0,03:25:27,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,211.0,211,high,run06,client
12342.0,03:25:42,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,226.0,226,high,run06,client
12357.0,03:25:57,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,241.0,241,high,run06,client
12372.0,03:26:12,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,256.0,256,high,run06,client
12387.0,03:26:27,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,271.0,271,high,run06,client
12402.0,03:26:42,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,286.0,286,high,run06,client
12417.0,03:26:57,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,301.0,301,high,run06,client
12432.0,03:27:12,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,316.0,316,high,run06,client
12447.0,03:27:27,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,331.0,331,high,run06,client
12462.0,03:27:42,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,346.0,346,high,run06,client
12477.0,03:27:57,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,361.0,361,high,run06,client
12492.0,03:28:12,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,376.0,376,high,run06,client
12507.0,03:28:27,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,391.0,391,high,run06,client
12523.0,03:28:43,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,407.0,407,high,run06,client
12538.0,03:28:58,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,422.0,422,high,run06,client
12553.0,03:29:13,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,437.0,437,high,run06,client
12568.0,03:29:28,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,452.0,452,high,run06,client
12583.0,03:29:43,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,467.0,467,high,run06,client
12598.0,03:29:58,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,482.0,482,high,run06,client
12613.0,03:30:13,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,497.0,497,high,run06,client
12628.0,03:30:28,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,512.0,512,high,run06,client
12643.0,03:30:43,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,527.0,527,high,run06,client
12673.0,03:31:13,selected_peer,boundary1,*boundary1       10.0.10.4       10 u    7   64    1   1.7593   0.5482  14.6906,557.0,557,high,run06,client
12688.0,03:31:28,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   22   64    1   1.7593   0.5482  14.6906,572.0,572,high,run06,client
12703.0,03:31:43,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   37   64    1   1.7593   0.5482  14.6906,587.0,587,high,run06,client
12718.0,03:31:58,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   52   64    1   1.7593   0.5482  14.6906,602.0,602,high,run06,client
12733.0,03:32:13,selected_peer,boundary1,*boundary1       10.0.10.4       10 u    8   64    3  72.9113 -35.5653  30.3360,617.0,617,high,run06,client
12748.0,03:32:28,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   23   64    3  72.9113 -35.5653  30.3360,632.0,632,high,run06,client
12764.0,03:32:44,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   38   64    3  72.9113 -35.5653  30.3360,648.0,648,high,run06,client
12779.0,03:32:59,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   53   64    3  72.9113 -35.5653  30.3360,663.0,663,high,run06,client
12794.0,03:33:14,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   68   64    3  72.9113 -35.5653  30.3360,678.0,678,high,run06,client
12809.0,03:33:29,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   14   64    7  64.0009 -31.1665  24.3863,693.0,693,high,run06,client
12824.0,03:33:44,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   29   64    7  64.0009 -31.1665  24.3863,708.0,708,high,run06,client
12839.0,03:33:59,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   44   64    7  64.0009 -31.1665  24.3863,723.0,723,high,run06,client
12854.0,03:34:14,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   59   64    7  64.0009 -31.1665  24.3863,738.0,738,high,run06,client
