t_s,hhmmss,type,detail,raw,t_rel_s,t_bin_s,scenario,run_id,role
10558.0,02:55:58,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,0.0,0,high,run05,client
10573.0,02:56:13,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,15.0,15,high,run05,client
10588.0,02:56:28,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,30.0,30,high,run05,client
10604.0,02:56:44,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,46.0,46,high,run05,client
10619.0,02:56:59,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,61.0,61,high,run05,client
10634.0,02:57:14,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,76.0,76,high,run05,client
10649.0,02:57:29,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,91.0,91,high,run05,client
10664.0,02:57:44,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,106.0,106,high,run05,client
10679.0,02:57:59,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,121.0,121,high,run05,client
10694.0,02:58:14,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,136.0,136,high,run05,client
10709.0,02:58:29,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,151.0,151,high,run05,client
10724.0,02:58:44,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,166.0,166,high,run05,client
10739.0,02:58:59,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,181.0,181,high,run05,client
10754.0,02:59:14,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,196.0,196,high,run05,client
10769.0,02:59:29,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,211.0,211,high,run05,client
10784.0,02:59:44,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,226.0,226,high,run05,client
10799.0,02:59:59,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,241.0,241,high,run05,client
10814.0,03:00:14,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,256.0,256,high,run05,client
