t,type,port,from,to,reason,raw,t_rel_s,t_bin_s,scenario,run_id,role
16363.795,state,1.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[16363.795]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE,0.0,0,high,run08,boundary
16363.795,state,2.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[16363.795]: port 2: INITIALIZING to LISTENING on INIT_COMPLETE,0.0,0,high,run08,boundary
16363.795,state,0.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[16363.795]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE,0.0,0,high,run08,boundary
16367.554,new_foreign_master,1.0,,,c2d4d1.fffe.e1b008-1,ptp4l[16367.554]: port 1: new foreign master c2d4d1.fffe.e1b008-1,3.7590000000000146,4,high,run08,boundary
16370.15,state,1.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[16370.150]: port 1: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,6.354999999999563,6,high,run08,boundary
16370.583,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[16370.583]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,6.788000000000466,7,high,run08,boundary
16371.556,best_master,,,,c2d4d1.fffe.e1b008,ptp4l[16371.556]: selected best master clock c2d4d1.fffe.e1b008,7.761000000000422,8,high,run08,boundary
16371.557,ptp_timescale_mismatch,,,,,ptp4l[16371.557]: foreign master not using PTP timescale,7.762000000000626,8,high,run08,boundary
16371.557,state,1.0,MASTER,UNCALIBRATED,RS_SLAVE,ptp4l[16371.557]: port 1: MASTER to UNCALIBRATED on RS_SLAVE,7.762000000000626,8,high,run08,boundary
16371.608,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[16371.608]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),7.813000000000102,8,high,run08,boundary
16387.611,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[16387.611]: port 2: FAULTY to LISTENING on INIT_COMPLETE,23.816000000000713,24,high,run08,boundary
16389.576,state,1.0,UNCALIBRATED,SLAVE,MASTER_CLOCK_SELECTED,ptp4l[16389.576]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED,25.78100000000086,26,high,run08,boundary
16395.488,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[16395.488]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,31.69300000000112,32,high,run08,boundary
16395.489,best_master,,,,c2d4d1.fffe.e1b008,ptp4l[16395.489]: selected best master clock c2d4d1.fffe.e1b008,31.694000000001324,32,high,run08,boundary
16395.489,ptp_timescale_mismatch,,,,,ptp4l[16395.489]: foreign master not using PTP timescale,31.694000000001324,32,high,run08,boundary
16396.514,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[16396.514]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),32.71899999999914,33,high,run08,boundary
16412.516,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[16412.516]: port 2: FAULTY to LISTENING on INIT_COMPLETE,48.72099999999955,49,high,run08,boundary
16419.208,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[16419.208]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,55.41299999999865,55,high,run08,boundary
16419.209,best_master,,,,c2d4d1.fffe.e1b008,ptp4l[16419.209]: selected best master clock c2d4d1.fffe.e1b008,55.41399999999885,55,high,run08,boundary
16419.209,ptp_timescale_mismatch,,,,,ptp4l[16419.209]: foreign master not using PTP timescale,55.41399999999885,55,high,run08,boundary
16420.234,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[16420.234]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),56.439000000000306,56,high,run08,boundary
16436.238,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[16436.238]: port 2: FAULTY to LISTENING on INIT_COMPLETE,72.44300000000112,72,high,run08,boundary
16442.28,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[16442.280]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,78.48499999999876,78,high,run08,boundary
16442.281,best_master,,,,c2d4d1.fffe.e1b008,ptp4l[16442.281]: selected best master clock c2d4d1.fffe.e1b008,78.48599999999897,78,high,run08,boundary
16442.281,ptp_timescale_mismatch,,,,,ptp4l[16442.281]: foreign master not using PTP timescale,78.48599999999897,78,high,run08,boundary
16443.306,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[16443.306]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),79.51100000000042,80,high,run08,boundary
16459.312,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[16459.312]: port 2: FAULTY to LISTENING on INIT_COMPLETE,95.51700000000164,96,high,run08,boundary
16466.105,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[16466.105]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,102.30999999999949,102,high,run08,boundary
16466.106,best_master,,,,c2d4d1.fffe.e1b008,ptp4l[16466.106]: selected best master clock c2d4d1.fffe.e1b008,102.3109999999997,102,high,run08,boundary
16466.106,ptp_timescale_mismatch,,,,,ptp4l[16466.106]: foreign master not using PTP timescale,102.3109999999997,102,high,run08,boundary
