scenario,role,metric,source,n_runs_total,n_total_rows,n_valid,mean,std,min,q10,q25,median,q75,q90,max,range,iqr,cv
medium,client,offset_ms,post_selected_samples_across_runs,15,941,941,-6.699368,2.806715,-11.1552,-9.5983,-8.6878,-7.077,-5.8969,0.0121,0.5933,11.7485,2.7909,-0.418952
medium,client,jitter_ms,post_selected_samples_across_runs,15,941,941,3.138168,2.136397,0.6996,1.2769,1.7647,2.3766,3.6745,7.5435,10.1787,9.4791,1.9098,0.680778
medium,client,delay_ms,post_selected_samples_across_runs,15,941,941,15.521904,5.830442,0.3217,2.0276,14.1286,16.4657,19.3048,21.4246,28.6508,28.3291,5.1762,0.375627
medium,boundary,offset_ms,post_selected_samples_across_runs,15,990,990,0.254105,0.31279,-0.0892,0.0052,0.0821,0.14965,0.369525,0.6003,2.1955,2.2847,0.287425,1.230951
medium,boundary,jitter_ms,post_selected_samples_across_runs,15,990,990,0.441742,0.282103,0.1095,0.1987,0.2625,0.3768,0.5173,0.7394,1.8939,1.7844,0.2548,0.638616
medium,boundary,delay_ms,post_selected_samples_across_runs,15,990,990,1.138926,0.721248,0.3304,0.4843,0.6507,0.8798,1.429,1.8466,5.3633,5.0329,0.7783,0.63327
