t_s,hhmmss,remote,refid,stratum,assoc_type,when_s,poll_s,reach_raw,reach_oct,selected,delay_ms,offset_ms,jitter_ms,raw,t_rel_s
51859.0,14:24:19,boundary1,.INIT.,16,u,,64,0,0,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,0.0
51919.0,14:25:19,boundary1,.INIT.,16,u,,64,0,0,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,60.0
51979.0,14:26:19,boundary1,.INIT.,16,u,,64,0,0,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,120.0
52039.0,14:27:19,boundary1,.INIT.,16,u,,64,0,0,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,180.0
52099.0,14:28:19,boundary1,.INIT.,16,u,,64,0,0,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,240.0
52159.0,14:29:19,boundary1,.INIT.,16,u,,64,0,0,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,300.0
52219.0,14:30:19,boundary1,.INIT.,16,u,,64,0,0,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,360.0
52279.0,14:31:19,boundary1,.INIT.,16,u,,64,0,0,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,420.0
52340.0,14:32:20,boundary1,.INIT.,16,u,,64,0,0,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,481.0
52400.0,14:33:20,boundary1,.INIT.,16,u,,64,0,0,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,541.0
52460.0,14:34:20,boundary1,10.0.10.4,10,u,38.0,64,1,1,True,7.4312,-3.0607,0.6295,*boundary1       10.0.10.4       10 u   38   64    1   7.4312  -3.0607   0.6295,601.0
52520.0,14:35:20,boundary1,10.0.10.4,10,u,40.0,64,3,3,True,7.929,-2.0321,0.695,*boundary1       10.0.10.4       10 u   40   64    3   7.9290  -2.0321   0.6950,661.0
52580.0,14:36:20,boundary1,10.0.10.4,10,u,31.0,64,7,7,True,6.6596,-2.2197,0.5099,*boundary1       10.0.10.4       10 u   31   64    7   6.6596  -2.2197   0.5099,721.0
