scenario,role,metric,source,n_runs_total,n_total_rows,n_valid,mean,std,min,q10,q25,median,q75,q90,max,range,iqr,cv
high,client,offset_ms,post_selected_samples_across_runs,15,935,935,-16.423267,15.384418,-40.3957,-36.5005,-29.25615,-21.8742,0.1324,0.2131,0.7928,41.1885,29.38855,-0.936745
high,client,jitter_ms,post_selected_samples_across_runs,15,935,935,20.893119,8.190471,4.3594,9.0929,14.2482,21.1578,28.0395,31.1613,33.6416,29.2822,13.7913,0.392018
high,client,delay_ms,post_selected_samples_across_runs,15,935,935,35.028179,31.288623,0.4148,0.8051,1.3713,46.703,61.2716,77.15038,100.3957,99.9809,59.9003,0.893242
high,boundary,offset_ms,post_selected_samples_across_runs,15,994,994,0.235565,0.264761,-0.4224,0.0345,0.0938,0.1541,0.3164,0.4959,1.9825,2.4049,0.2226,1.123941
high,boundary,jitter_ms,post_selected_samples_across_runs,15,994,994,0.473229,0.232425,0.1239,0.21046,0.3181,0.4249,0.586875,0.7796,1.6878,1.5639,0.268775,0.491148
high,boundary,delay_ms,post_selected_samples_across_runs,15,994,994,1.127153,0.649696,0.2901,0.5184,0.6697,1.0722,1.4127,1.8246,5.145,4.8549,0.743,0.576404
