t,offset_ns,servo_state,freq_raw,path_delay_ns,raw,t_rel_s
15609.524,-507957,2,30633,787265,ptp4l[15609.524]: master offset    -507957 s2 freq  +30633 path delay    787265,51.03700000000026
15610.528,20086,2,83458,787265,ptp4l[15610.528]: master offset      20086 s2 freq  +83458 path delay    787265,52.04100000000108
15611.526,-398003,2,41251,793262,ptp4l[15611.526]: master offset    -398003 s2 freq  +41251 path delay    793262,53.03900000000067
15612.529,980248,2,180056,793262,ptp4l[15612.529]: master offset     980248 s2 freq +180056 path delay    793262,54.04200000000128
15613.529,-374546,2,44202,793262,ptp4l[15613.529]: master offset    -374546 s2 freq  +44202 path delay    793262,55.04200000000128
15614.53,136831,2,95477,895249,ptp4l[15614.530]: master offset     136831 s2 freq  +95477 path delay    895249,56.043000000001484
15615.529,-605167,2,20672,944635,ptp4l[15615.529]: master offset    -605167 s2 freq  +20672 path delay    944635,57.04200000000128
15616.533,-124735,2,68590,944635,ptp4l[15616.533]: master offset    -124735 s2 freq  +68590 path delay    944635,58.04600000000028
15617.53,-844017,2,-4182,944635,ptp4l[15617.530]: master offset    -844017 s2 freq   -4182 path delay    944635,59.043000000001484
15618.533,143,2,80234,856028,ptp4l[15618.533]: master offset        143 s2 freq  +80234 path delay    856028,60.04600000000028
15619.532,-487099,2,31023,856028,ptp4l[15619.532]: master offset    -487099 s2 freq  +31023 path delay    856028,61.04500000000007
15620.535,-53428,2,74336,856028,ptp4l[15620.535]: master offset     -53428 s2 freq  +74336 path delay    856028,62.048000000000684
15621.534,-489774,2,30212,893244,ptp4l[15621.534]: master offset    -489774 s2 freq  +30212 path delay    893244,63.04700000000048
15622.534,-499877,2,28702,720662,ptp4l[15622.534]: master offset    -499877 s2 freq  +28702 path delay    720662,64.04700000000048
15623.535,-251967,2,53241,720662,ptp4l[15623.535]: master offset    -251967 s2 freq  +53241 path delay    720662,65.04800000000068
15624.536,597674,2,138803,589054,ptp4l[15624.536]: master offset     597674 s2 freq +138803 path delay    589054,66.04900000000089
15625.538,1640428,2,244719,589054,ptp4l[15625.538]: master offset    1640428 s2 freq +244719 path delay    589054,67.0510000000013
15626.538,434664,2,124577,624910,ptp4l[15626.538]: master offset     434664 s2 freq +124577 path delay    624910,68.0510000000013
15627.537,-588244,2,21698,675941,ptp4l[15627.537]: master offset    -588244 s2 freq  +21698 path delay    675941,69.05000000000109
15628.54,-5206,2,79996,675941,ptp4l[15628.540]: master offset      -5206 s2 freq  +79996 path delay    675941,70.0530000000017
15629.539,-248141,2,55455,675941,ptp4l[15629.539]: master offset    -248141 s2 freq  +55455 path delay    675941,71.0520000000015
15630.541,984074,2,179660,720999,ptp4l[15630.541]: master offset     984074 s2 freq +179660 path delay    720999,72.05400000000009
15631.542,-267914,2,54194,720999,ptp4l[15631.542]: master offset    -267914 s2 freq  +54194 path delay    720999,73.05500000000029
15632.541,-547508,2,25687,720999,ptp4l[15632.541]: master offset    -547508 s2 freq  +25687 path delay    720999,74.05400000000009
15633.544,141603,2,94739,642835,ptp4l[15633.544]: master offset     141603 s2 freq  +94739 path delay    642835,75.0570000000007
15634.545,165625,2,97307,656880,ptp4l[15634.545]: master offset     165625 s2 freq  +97307 path delay    656880,76.0580000000009
15635.546,-102768,2,70365,720999,ptp4l[15635.546]: master offset    -102768 s2 freq  +70365 path delay    720999,77.0590000000011
15636.545,-427019,2,37513,720999,ptp4l[15636.545]: master offset    -427019 s2 freq  +37513 path delay    720999,78.0580000000009
15637.548,1639242,2,245778,663505,ptp4l[15637.548]: master offset    1639242 s2 freq +245778 path delay    663505,79.06100000000151
15638.546,-507127,2,30634,663505,ptp4l[15638.546]: master offset    -507127 s2 freq  +30634 path delay    663505,80.0590000000011
15639.547,-355872,2,45404,468827,ptp4l[15639.547]: master offset    -355872 s2 freq  +45404 path delay    468827,81.06000000000131
15640.549,421543,2,123567,443959,ptp4l[15640.549]: master offset     421543 s2 freq +123567 path delay    443959,82.06200000000172
15641.55,198086,2,101419,443959,ptp4l[15641.550]: master offset     198086 s2 freq +101419 path delay    443959,83.0630000000001
15642.551,244226,2,106278,555068,ptp4l[15642.551]: master offset     244226 s2 freq +106278 path delay    555068,84.0640000000003
15643.55,-373581,2,44123,506733,ptp4l[15643.550]: master offset    -373581 s2 freq  +44123 path delay    506733,85.0630000000001
15644.553,498306,2,131810,506733,ptp4l[15644.553]: master offset     498306 s2 freq +131810 path delay    506733,86.06600000000071
