t,type,port,from,to,reason,raw,t_rel_s
14977.931,state,1.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[14977.931]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE,0.0
14977.931,state,0.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[14977.931]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE,0.0
14981.978,new_foreign_master,1.0,,,8a77ae.fffe.d1f89c-2,ptp4l[14981.978]: port 1: new foreign master 8a77ae.fffe.d1f89c-2,4.046999999998661
14985.982,best_master,,,,b63550.fffe.ab1e80,ptp4l[14985.982]: selected best master clock b63550.fffe.ab1e80,8.050999999999476
14985.982,ptp_timescale_mismatch,,,,,ptp4l[14985.982]: foreign master not using PTP timescale,8.050999999999476
14985.982,state,1.0,LISTENING,UNCALIBRATED,RS_SLAVE,ptp4l[14985.982]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE,8.050999999999476
15005.997,state,1.0,UNCALIBRATED,SLAVE,MASTER_CLOCK_SELECTED,ptp4l[15005.997]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED,28.065999999998894
