t,rms_ns,max_ns,freq_raw,freq_pm_raw,path_delay_ns,path_delay_pm_ns,raw,t_rel_s
15423.367,287325,338541,47793,28276,845205,0,ptp4l[15423.367]: rms 287325 max 338541 freq +47793 +/- 28276 delay 845205 +/-   0,145.89800000000105
15425.362,114665,117193,65231,314,877692,32488,ptp4l[15425.362]: rms 114665 max 117193 freq +65231 +/- 314 delay 877692 +/- 32488,147.89300000000003
15427.363,345365,481553,25145,19956,910180,0,ptp4l[15427.363]: rms 345365 max 481553 freq +25145 +/- 19956 delay 910180 +/-   0,149.89400000000023
15429.375,183645,197026,54583,18410,833005,0,ptp4l[15429.375]: rms 183645 max 197026 freq +54583 +/- 18410 delay 833005 +/-   0,151.90600000000086
15431.368,259615,265741,53790,26087,794668,38337,ptp4l[15431.368]: rms 259615 max 265741 freq +53790 +/- 26087 delay 794668 +/- 38337,153.89900000000125
15433.365,114762,158261,47048,9730,759782,3452,ptp4l[15433.365]: rms 114762 max 158261 freq +47048 +/- 9730 delay 759782 +/- 3452,155.89600000000064
15461.981,272928,353739,27441,10142,609454,190674,ptp4l[15461.981]: rms 272928 max 353739 freq +27441 +/- 10142 delay 609454 +/- 190674,184.51200000000063
15463.981,116417,163746,61888,7323,537488,0,ptp4l[15463.981]: rms 116417 max 163746 freq +61888 +/- 7323 delay 537488 +/-   0,186.51200000000063
15465.987,303575,330251,83521,2962,591755,33702,ptp4l[15465.987]: rms 303575 max 330251 freq +83521 +/- 2962 delay 591755 +/- 33702,188.51800000000003
15467.986,191757,246586,35182,6630,580700,8007,ptp4l[15467.986]: rms 191757 max 246586 freq +35182 +/- 6630 delay 580700 +/- 8007,190.51700000000164
15469.989,115783,163650,45114,8539,592024,0,ptp4l[15469.989]: rms 115783 max 163650 freq +45114 +/- 8539 delay 592024 +/-   0,192.52000000000044
15471.987,288658,320897,56563,28788,575038,0,ptp4l[15471.987]: rms 288658 max 320897 freq +56563 +/- 28788 delay 575038 +/-   0,194.51800000000003
15473.997,918624,1295306,114039,69795,565949,12854,ptp4l[15473.997]: rms 918624 max 1295306 freq +114039 +/- 69795 delay 565949 +/- 12854,196.52800000000025
15475.996,527683,657804,105396,15599,528389,23211,ptp4l[15475.996]: rms 527683 max 657804 freq +105396 +/- 15599 delay 528389 +/- 23211,198.52700000000004
15478.0,1091638,1534746,141922,68302,584809,68666,ptp4l[15478.000]: rms 1091638 max 1534746 freq +141922 +/- 68302 delay 584809 +/- 68666,200.53100000000086
15479.993,444139,520946,12712,8763,732319,42118,ptp4l[15479.993]: rms 444139 max 520946 freq +12712 +/- 8763 delay 732319 +/- 42118,202.52400000000125
15481.996,522126,656350,5487,15734,599744,0,ptp4l[15481.996]: rms 522126 max 656350 freq  +5487 +/- 15734 delay 599744 +/-   0,204.52700000000004
15483.992,367712,399436,17863,3156,564301,44210,ptp4l[15483.992]: rms 367712 max 399436 freq +17863 +/- 3156 delay 564301 +/- 44210,206.52300000000105
15485.998,239853,267316,30140,2821,420808,64254,ptp4l[15485.998]: rms 239853 max 267316 freq +30140 +/- 2821 delay 420808 +/- 64254,208.52900000000045
15488.002,608017,859748,97986,42704,356553,0,ptp4l[15488.002]: rms 608017 max 859748 freq +97986 +/- 42704 delay 356553 +/-   0,210.53300000000127
15490.0,211842,288684,65393,18479,356553,0,ptp4l[15490.000]: rms 211842 max 288684 freq +65393 +/- 18479 delay 356553 +/-   0,212.53100000000086
15491.985,116369,153434,50104,10677,236563,0,ptp4l[15491.985]: rms 116369 max 153434 freq +50104 +/- 10677 delay 236563 +/-   0,214.51600000000144
15494.001,112719,127165,56349,11228,239122,0,ptp4l[15494.001]: rms 112719 max 127165 freq +56349 +/- 11228 delay 239122 +/-   0,216.53200000000106
15496.001,121828,127665,54314,12232,241039,0,ptp4l[15496.001]: rms 121828 max 127665 freq +54314 +/- 12232 delay 241039 +/-   0,218.53200000000106
15497.996,70916,79683,53861,7060,227556,0,ptp4l[15497.996]: rms 70916 max 79683 freq +53861 +/- 7060 delay 227556 +/-   0,220.52700000000004
15500.004,91215,128789,47892,6069,242370,0,ptp4l[15500.004]: rms 91215 max 128789 freq +47892 +/- 6069 delay 242370 +/-   0,222.53500000000167
15502.006,63015,81591,48746,2328,209050,16973,ptp4l[15502.006]: rms 63015 max 81591 freq +48746 +/- 2328 delay 209050 +/- 16973,224.53700000000026
15504.01,46153,58426,50142,1496,166968,5130,ptp4l[15504.010]: rms 46153 max 58426 freq +50142 +/- 1496 delay 166968 +/- 5130,226.54100000000108
