role,scenario,source_file,convergence_time_s,fault_count,offset_mean_ns_s2,offset_std_ns_s2,offset_p50_ns_s2,offset_p95_ns_s2,offset_p99_ns_s2,offset_maxabs_ns_s2,path_delay_mean_ns_s2,path_delay_std_ns_s2
boundary,high,analysis/raw_logs/T3/ptp_boundary_high.log,25.82300000000032,0,106813.0,470386.9673273745,16616.0,570918.8999999969,1604276.5800000003,1862616.0,293056.84210526315,113965.91909634075
boundary,low,analysis/raw_logs/T3/ptp_boundary_low.log,25.924000000000888,0,-88092.57894736843,382883.88093205314,-261030.0,650138.1999999997,753027.64,778750.0,555380.5263157894,41415.86840862974
boundary,medium,analysis/raw_logs/T3/ptp_boundary_medium.log,24.888999999999214,0,270525.45,812830.2339639189,20468.5,1635445.0000000012,2897622.5999999978,3213167.0,327977.95,108174.98055975157
