t,offset_ns,servo_state,freq_raw,path_delay_ns,raw,t_rel_s
15034.291,98576,2,-166242,412920,ptp4l[15034.291]: master offset      98576 s2 freq -166242 path delay    412920,51.05400000000009
15035.292,41203,2,-171938,412920,ptp4l[15035.292]: master offset      41203 s2 freq -171938 path delay    412920,52.05500000000029
15036.293,99766,2,-165982,412920,ptp4l[15036.293]: master offset      99766 s2 freq -165982 path delay    412920,53.056000000000495
15037.294,1163287,2,-58467,401106,ptp4l[15037.294]: master offset    1163287 s2 freq  -58467 path delay    401106,54.0570000000007
15038.294,130501,2,-161615,401106,ptp4l[15038.294]: master offset     130501 s2 freq -161615 path delay    401106,55.0570000000007
15039.296,-45631,2,-179273,401106,ptp4l[15039.296]: master offset     -45631 s2 freq -179273 path delay    401106,56.059000000001106
15040.301,1530564,2,-20123,412920,ptp4l[15040.301]: master offset    1530564 s2 freq  -20123 path delay    412920,57.064000000000306
15041.298,-47261,2,-177953,421763,ptp4l[15041.298]: master offset     -47261 s2 freq -177953 path delay    421763,58.06100000000151
15042.3,1116605,2,-60450,421763,ptp4l[15042.300]: master offset    1116605 s2 freq  -60450 path delay    421763,59.0630000000001
15043.3,-184191,2,-190714,515081,ptp4l[15043.300]: master offset    -184191 s2 freq -190714 path delay    515081,60.0630000000001
15044.303,467218,2,-125106,515081,ptp4l[15044.303]: master offset     467218 s2 freq -125106 path delay    515081,61.06600000000071
15045.304,-301350,2,-202264,602873,ptp4l[15045.304]: master offset    -301350 s2 freq -202264 path delay    602873,62.06700000000092
15046.305,-128822,2,-185140,602873,ptp4l[15046.305]: master offset    -128822 s2 freq -185140 path delay    602873,63.06800000000112
15047.306,697686,2,-101791,621777,ptp4l[15047.306]: master offset     697686 s2 freq -101791 path delay    621777,64.06900000000132
15048.306,-365471,2,-208472,671711,ptp4l[15048.306]: master offset    -365471 s2 freq -208472 path delay    671711,65.06900000000132
15049.309,-283841,2,-200593,813712,ptp4l[15049.309]: master offset    -283841 s2 freq -200593 path delay    813712,66.07200000000012
15050.309,122893,2,-159797,813712,ptp4l[15050.309]: master offset     122893 s2 freq -159797 path delay    813712,67.07200000000012
15051.31,-186730,2,-190946,813712,ptp4l[15051.310]: master offset    -186730 s2 freq -190946 path delay    813712,68.07300000000032
15052.312,-269348,2,-199477,813712,ptp4l[15052.312]: master offset    -269348 s2 freq -199477 path delay    813712,69.07500000000073
15053.313,-50223,2,-177615,813712,ptp4l[15053.313]: master offset     -50223 s2 freq -177615 path delay    813712,70.07600000000093
15054.314,-264459,2,-199303,700959,ptp4l[15054.314]: master offset    -264459 s2 freq -199303 path delay    700959,71.07700000000114
15055.315,-333833,2,-206574,669619,ptp4l[15055.315]: master offset    -333833 s2 freq -206574 path delay    669619,72.07800000000134
15056.317,270306,2,-145890,621777,ptp4l[15056.317]: master offset     270306 s2 freq -145890 path delay    621777,73.07999999999993
15057.318,-129461,2,-185996,621777,ptp4l[15057.318]: master offset    -129461 s2 freq -185996 path delay    621777,74.08100000000013
15058.319,-208741,2,-194133,604928,ptp4l[15058.319]: master offset    -208741 s2 freq -194133 path delay    604928,75.08200000000033
15059.32,359405,2,-136959,604928,ptp4l[15059.320]: master offset     359405 s2 freq -136959 path delay    604928,76.08300000000054
15060.321,99264,2,-162874,632945,ptp4l[15060.321]: master offset      99264 s2 freq -162874 path delay    632945,77.08400000000074
15061.323,221585,2,-150420,614225,ptp4l[15061.323]: master offset     221585 s2 freq -150420 path delay    614225,78.08600000000115
15062.323,-38681,2,-176485,614225,ptp4l[15062.323]: master offset     -38681 s2 freq -176485 path delay    614225,79.08600000000115
15063.323,-184539,2,-191256,563768,ptp4l[15063.323]: master offset    -184539 s2 freq -191256 path delay    563768,80.08600000000115
15064.326,183036,2,-154315,515685,ptp4l[15064.326]: master offset     183036 s2 freq -154315 path delay    515685,81.08899999999994
15065.327,1426264,2,-28566,515685,ptp4l[15065.327]: master offset    1426264 s2 freq  -28566 path delay    515685,82.09000000000015
15066.328,452389,2,-125501,560424,ptp4l[15066.328]: master offset     452389 s2 freq -125501 path delay    560424,83.09100000000035
15067.328,-260130,2,-197013,641546,ptp4l[15067.328]: master offset    -260130 s2 freq -197013 path delay    641546,84.09100000000035
15068.33,63002,2,-164637,543007,ptp4l[15068.330]: master offset      63002 s2 freq -164637 path delay    543007,85.09300000000076
15069.332,-79570,2,-178974,636032,ptp4l[15069.332]: master offset     -79570 s2 freq -178974 path delay    636032,86.09500000000116
15070.342,2729183,2,104631,653450,ptp4l[15070.342]: master offset    2729183 s2 freq +104631 path delay    653450,87.10500000000138
15071.341,-268282,2,-195384,653450,ptp4l[15071.341]: master offset    -268282 s2 freq -195384 path delay    653450,88.10400000000118
15072.343,70615,2,-161424,636032,ptp4l[15072.343]: master offset      70615 s2 freq -161424 path delay    636032,89.10600000000159
15073.346,-231733,2,-191890,628832,ptp4l[15073.346]: master offset    -231733 s2 freq -191890 path delay    628832,90.10900000000038
15074.348,-124273,2,-181269,628832,ptp4l[15074.348]: master offset    -124273 s2 freq -181269 path delay    628832,91.11100000000079
15075.35,52283,2,-163561,628832,ptp4l[15075.350]: master offset      52283 s2 freq -163561 path delay    628832,92.1130000000012
15076.352,-35771,2,-172402,640735,ptp4l[15076.352]: master offset     -35771 s2 freq -172402 path delay    640735,93.1150000000016
15077.352,-323076,2,-201455,657990,ptp4l[15077.352]: master offset    -323076 s2 freq -201455 path delay    657990,94.1150000000016
15078.354,33899,2,-165724,669464,ptp4l[15078.354]: master offset      33899 s2 freq -165724 path delay    669464,95.11700000000019
15079.355,-257469,2,-195118,650790,ptp4l[15079.355]: master offset    -257469 s2 freq -195118 path delay    650790,96.1180000000004
15080.357,15538,2,-167802,650790,ptp4l[15080.357]: master offset      15538 s2 freq -167802 path delay    650790,97.1200000000008
15081.358,-99891,2,-179445,634718,ptp4l[15081.358]: master offset     -99891 s2 freq -179445 path delay    634718,98.121000000001
15082.361,281989,2,-140975,634718,ptp4l[15082.361]: master offset     281989 s2 freq -140975 path delay    634718,99.12400000000162
15083.36,-298116,2,-199283,748558,ptp4l[15083.360]: master offset    -298116 s2 freq -199283 path delay    748558,100.12300000000141
15084.362,294626,2,-139715,543220,ptp4l[15084.362]: master offset     294626 s2 freq -139715 path delay    543220,101.125
15085.362,-229486,2,-192355,624238,ptp4l[15085.362]: master offset    -229486 s2 freq -192355 path delay    624238,102.125
15086.363,-117251,2,-181249,624238,ptp4l[15086.363]: master offset    -117251 s2 freq -181249 path delay    624238,103.1260000000002
15087.364,-189398,2,-188653,577087,ptp4l[15087.364]: master offset    -189398 s2 freq -188653 path delay    577087,104.12700000000041
15088.366,-421,2,-169756,577087,ptp4l[15088.366]: master offset       -421 s2 freq -169756 path delay    577087,105.12900000000081
15089.368,778738,2,-91061,577087,ptp4l[15089.368]: master offset     778738 s2 freq  -91061 path delay    577087,106.13100000000122
15090.368,-269856,2,-196191,848532,ptp4l[15090.368]: master offset    -269856 s2 freq -196191 path delay    848532,107.13100000000122
15091.372,-53605,2,-174619,979366,ptp4l[15091.372]: master offset     -53605 s2 freq -174619 path delay    979366,108.13500000000022
15092.372,-457532,2,-215469,1009964,ptp4l[15092.372]: master offset    -457532 s2 freq -215469 path delay   1009964,109.13500000000022
15093.373,-76708,2,-177464,1009964,ptp4l[15093.373]: master offset     -76708 s2 freq -177464 path delay   1009964,110.13600000000042
15094.374,-358094,2,-205960,979366,ptp4l[15094.374]: master offset    -358094 s2 freq -205960 path delay    979366,111.13700000000063
