t,type,port,from,to,reason,raw,t_rel_s
15552.783,state,1.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[15552.783]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE,0.0
15552.783,state,0.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[15552.783]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE,0.0
15556.147,new_foreign_master,1.0,,,1672fe.fffe.fdda07-2,ptp4l[15556.147]: port 1: new foreign master 1672fe.fffe.fdda07-2,3.364000000001397
15749.646,best_master,,,,be1d2f.fffe.c7555f,ptp4l[15749.646]: selected best master clock be1d2f.fffe.c7555f,196.8630000000012
15749.65,ptp_timescale_mismatch,,,,,ptp4l[15749.650]: foreign master not using PTP timescale,196.8670000000002
15749.65,state,1.0,LISTENING,UNCALIBRATED,RS_SLAVE,ptp4l[15749.650]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE,196.8670000000002
15756.749,state,1.0,UNCALIBRATED,LISTENING,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[15756.749]: port 1: UNCALIBRATED to LISTENING on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,203.96600000000035
