t,type,port,from,to,reason,raw,t_rel_s
16012.088,state,1.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[16012.088]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE,0.0
16012.088,state,0.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[16012.088]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE,0.0
16016.151,new_foreign_master,1.0,,,32086a.fffe.98be93-2,ptp4l[16016.151]: port 1: new foreign master 32086a.fffe.98be93-2,4.063000000000102
16020.152,best_master,,,,5ab801.fffe.2a113d,ptp4l[16020.152]: selected best master clock 5ab801.fffe.2a113d,8.064000000000306
16020.153,ptp_timescale_mismatch,,,,,ptp4l[16020.153]: foreign master not using PTP timescale,8.06500000000051
16020.153,state,1.0,LISTENING,UNCALIBRATED,RS_SLAVE,ptp4l[16020.153]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE,8.06500000000051
16039.17,state,1.0,UNCALIBRATED,SLAVE,MASTER_CLOCK_SELECTED,ptp4l[16039.170]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED,27.082000000000335
