t,rms_ns,max_ns,freq_raw,freq_pm_raw,path_delay_ns,path_delay_pm_ns,raw,t_rel_s
15068.025,280882,394541,-342005,17398,492912,426,ptp4l[15068.025]: rms 280882 max 394541 freq -342005 +/- 17398 delay 492912 +/- 426,78.03499999999985
15070.03,124451,157473,-376016,3904,467994,24492,ptp4l[15070.030]: rms 124451 max 157473 freq -376016 +/- 3904 delay 467994 +/- 24492,80.04000000000087
15072.028,299219,366538,-356236,29005,443502,0,ptp4l[15072.028]: rms 299219 max 366538 freq -356236 +/- 29005 delay 443502 +/-   0,82.03800000000047
15074.031,76873,106378,-359803,6451,443502,0,ptp4l[15074.031]: rms 76873 max 106378 freq -359803 +/- 6451 delay 443502 +/-   0,84.04100000000108
15076.029,104305,105861,-353426,105,436363,0,ptp4l[15076.029]: rms 104305 max 105861 freq -353426 +/- 105 delay 436363 +/-   0,86.03900000000067
15078.032,242702,342935,-381851,16603,533668,34321,ptp4l[15078.032]: rms 242702 max 342935 freq -381851 +/- 16603 delay 533668 +/- 34321,88.04199999999946
15080.031,207787,292101,-380677,12986,502829,55108,ptp4l[15080.031]: rms 207787 max 292101 freq -380677 +/- 12986 delay 502829 +/- 55108,90.04100000000108
15082.033,88688,122583,-369396,7470,451502,0,ptp4l[15082.033]: rms 88688 max 122583 freq -369396 +/- 7470 delay 451502 +/-   0,92.04299999999967
15084.035,204722,289328,-349293,13934,436366,15136,ptp4l[15084.035]: rms 204722 max 289328 freq -349293 +/- 13934 delay 436366 +/- 15136,94.04500000000007
15086.042,323910,408494,-353916,30893,458293,0,ptp4l[15086.042]: rms 323910 max 408494 freq -353916 +/- 30893 delay 458293 +/-   0,96.05199999999968
15088.042,647572,915227,-315760,44118,441521,23493,ptp4l[15088.042]: rms 647572 max 915227 freq -315760 +/- 44118 delay 441521 +/- 23493,98.05199999999968
15090.043,236206,309956,-353615,21788,533239,29982,ptp4l[15090.043]: rms 236206 max 309956 freq -353615 +/- 21788 delay 533239 +/- 29982,100.05299999999988
15092.043,248304,341117,-349972,21395,572417,0,ptp4l[15092.043]: rms 248304 max 341117 freq -349972 +/- 21395 delay 572417 +/-   0,102.05299999999988
15094.047,58804,82306,-367452,3562,638447,0,ptp4l[15094.047]: rms 58804 max 82306 freq -367452 +/- 3562 delay 638447 +/-   0,104.0570000000007
15096.048,239636,286978,-368082,23506,697723,0,ptp4l[15096.048]: rms 239636 max 286978 freq -368082 +/- 23506 delay 697723 +/-   0,106.0580000000009
15098.049,156338,213117,-370651,13705,661182,29638,ptp4l[15098.049]: rms 156338 max 213117 freq -370651 +/- 13705 delay 661182 +/- 29638,108.0590000000011
15100.049,165650,234258,-351124,11742,586534,19543,ptp4l[15100.049]: rms 165650 max 234258 freq -351124 +/- 11742 delay 586534 +/- 19543,110.0590000000011
15102.053,356719,397446,-367034,35606,596554,29564,ptp4l[15102.053]: rms 356719 max 397446 freq -367034 +/- 35606 delay 596554 +/- 29564,112.0630000000001
15104.056,213488,223303,-361768,21427,626118,0,ptp4l[15104.056]: rms 213488 max 223303 freq -361768 +/- 21427 delay 626118 +/-   0,114.06600000000071
15106.056,83645,107110,-370844,2899,611032,15086,ptp4l[15106.056]: rms 83645 max 107110 freq -370844 +/- 2899 delay 611032 +/- 15086,116.06600000000071
15108.059,160596,226279,-373588,12299,524090,0,ptp4l[15108.059]: rms 160596 max 226279 freq -373588 +/- 12299 delay 524090 +/-   0,118.0689999999995
15110.062,1477124,2021108,-233492,74385,595946,0,ptp4l[15110.062]: rms 1477124 max 2021108 freq -233492 +/- 74385 delay 595946 +/-   0,120.07200000000012
15112.069,689903,971854,-315479,52946,653802,0,ptp4l[15112.069]: rms 689903 max 971854 freq -315479 +/- 52946 delay 653802 +/-   0,122.07899999999972
15114.068,203407,229296,-356882,20237,649096,0,ptp4l[15114.068]: rms 203407 max 229296 freq -356882 +/- 20237 delay 649096 +/-   0,124.07799999999952
15116.063,458835,634125,-320705,25141,580247,48684,ptp4l[15116.063]: rms 458835 max 634125 freq -320705 +/- 25141 delay 580247 +/- 48684,126.07300000000032
